hh,mm,ss,sss,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temperature_c,ppg_red,ppg_ir,ppg_green
0,0,0,180,0.02001953125,-0.003173828125,-0.0177001953125,-90.29388427734375,0.58746337890625,-84.503173828125,40.09375,1117,720,188
0,0,0,190,0.02001953125,-0.003173828125,-0.0177001953125,-90.29388427734375,0.58746337890625,-84.503173828125,40.09375,1123,742,180
0,0,0,200,0.0224609375,-0.014404296875,-0.0015869140625,-93.4906005859375,3.631591796875,-82.28302001953125,40.09375,1131,706,187
0,0,0,210,0.0224609375,-0.014404296875,-0.0015869140625,-93.4906005859375,3.631591796875,-82.28302001953125,37.09375,1115,725,190
0,0,0,220,0.01776123046875,-0.0108642578125,-0.00146484375,-99.08294677734375,7.87353515625,-82.8399658203125,37.09375,1123,727,185
0,0,0,230,0.01776123046875,-0.0108642578125,-0.00146484375,-99.08294677734375,7.87353515625,-82.8399658203125,37.09375,1122,725,194
0,0,0,240,0.01849365234375,-0.0013427734375,-0.0181884765625,-93.69659423828125,4.23431396484375,-83.4503173828125,37.09375,1129,722,192
0,0,0,250,0.01849365234375,-0.0013427734375,-0.0181884765625,-93.69659423828125,4.23431396484375,-83.4503173828125,37.09375,1127,719,192
0,0,0,260,0.0181884765625,0.001220703125,-0.01812744140625,-92.64373779296875,1.861572265625,-84.40399169921875,42.09375,1106,715,189
0,0,0,270,0.0152587890625,-0.0062255859375,-0.01470947265625,-92.64373779296875,1.861572265625,-84.40399169921875,42.09375,1109,710,178
0,0,0,280,0.0152587890625,-0.0062255859375,-0.01470947265625,-92.58270263671875,1.7547607421875,-85.38055419921875,42.09375,1134,713,180
0,0,0,290,0.0166015625,-0.0184326171875,-0.00799560546875,-92.75054931640625,2.74658203125,-82.8857421875,42.09375,1138,726,202
0,0,0,300,0.0166015625,-0.0184326171875,-0.00799560546875,-92.75054931640625,2.74658203125,-82.8857421875,35.09375,1137,721,180
0,0,0,310,0.014404296875,-0.01885986328125,-0.0028076171875,-97.00775146484375,6.3629150390625,-81.84051513671875,35.09375,1165,723,194
0,0,0,320,0.014404296875,-0.01885986328125,-0.0028076171875,-97.00775146484375,6.3629150390625,-81.84051513671875,35.09375,1181,729,189
0,0,0,330,0.01416015625,-0.00592041015625,-0.01312255859375,-95.245361328125,4.93621826171875,-84.25140380859375,35.09375,1199,714,189
0,0,0,340,0.01416015625,-0.00592041015625,-0.01312255859375,-95.245361328125,4.93621826171875,-84.25140380859375,35.09375,1188,723,181
0,0,0,350,0.01605224609375,-0.0018310546875,-0.01568603515625,-91.9189453125,2.6397705078125,-82.58819580078125,39.09375,1178,722,193
0,0,0,360,0.01605224609375,-0.0018310546875,-0.01568603515625,-91.9189453125,2.6397705078125,-82.58819580078125,39.09375,1190,707,177
0,0,0,370,0.0130615234375,-0.0064697265625,-0.00872802734375,-95.00885009765625,4.119873046875,-84.9761962890625,39.09375,1190,707,182
0,0,0,380,0.0130615234375,-0.0064697265625,-0.00872802734375,-95.00885009765625,4.119873046875,-84.9761962890625,39.09375,1189,706,195
0,0,0,390,0.01715087890625,-0.01263427734375,-0.0113525390625,-92.41485595703125,2.66265869140625,-84.77020263671875,39.09375,1158,725,180
0,0,0,400,0.01715087890625,-0.01263427734375,-0.0113525390625,-92.41485595703125,2.66265869140625,-84.77020263671875,39.09375,1149,706,202
0,0,0,410,0.0164794921875,-0.01654052734375,-0.00531005859375,-93.58978271484375,4.08172607421875,-81.3446044921875,39.09375,1126,713,172
0,0,0,420,0.011474609375,-0.0098876953125,-0.005126953125,-99.44915771484375,7.659912109375,-83.76312255859375,39.09375,1129,692,183
0,0,0,430,0.011474609375,-0.0098876953125,-0.005126953125,-98.6480712890625,7.659912109375,-83.76312255859375,39.09375,1123,717,183
0,0,0,440,0.020751953125,-0.01312255859375,-0.01690673828125,-94.12384033203125,4.33349609375,-82.61871337890625,42.09375,1135,710,188
0,0,0,450,0.020751953125,-0.01312255859375,-0.01690673828125,-94.12384033203125,4.33349609375,-82.61871337890625,42.09375,1110,707,189
0,0,0,460,0.02154541015625,-0.00634765625,-0.0177001953125,-92.81158447265625,1.495361328125,-85.02960205078125,42.09375,1124,725,200
0,0,0,470,0.02154541015625,-0.00634765625,-0.0177001953125,-92.81158447265625,1.495361328125,-85.02960205078125,42.09375,1104,717,179
0,0,0,480,0.01806640625,-0.010009765625,-0.01043701171875,-90.12603759765625,0.5645751953125,-83.47320556640625,40.09375,1075,709,198
0,0,0,490,0.01806640625,-0.010009765625,-0.01043701171875,-90.12603759765625,0.5645751953125,-83.47320556640625,40.09375,1082,732,181
0,0,0,500,0.01068115234375,-0.0106201171875,-6.103515625e-05,-96.343994140625,6.18743896484375,-83.19854736328125,40.09375,1070,727,188
0,0,0,510,0.01068115234375,-0.0106201171875,-6.103515625e-05,-96.343994140625,6.18743896484375,-83.19854736328125,40.09375,1071,712,183
0,0,0,520,0.01226806640625,-0.007080078125,-0.0089111328125,-98.1903076171875,7.904052734375,-82.5042724609375,40.09375,1066,751,189
0,0,0,530,0.01226806640625,-0.007080078125,-0.0089111328125,-98.1903076171875,7.904052734375,-82.5042724609375,39.09375,1046,724,177
0,0,0,540,0.01690673828125,-0.00244140625,-0.022705078125,-94.0093994140625,3.92913818359375,-84.29718017578125,39.09375,1036,763,195
0,0,0,550,0.01922607421875,-0.00848388671875,-0.02044677734375,-94.0093994140625,3.92913818359375,-84.29718017578125,39.09375,1055,774,189
0,0,0,560,0.01922607421875,-0.00848388671875,-0.02044677734375,-91.00341796875,0.7781982421875,-84.55657958984375,39.09375,1056,802,179
0,0,0,570,0.01788330078125,-0.0155029296875,-0.00909423828125,-92.58270263671875,2.58636474609375,-83.984375,41.09375,1074,789,192
0,0,0,580,0.01788330078125,-0.0155029296875,-0.00909423828125,-92.58270263671875,2.58636474609375,-83.984375,41.09375,1080,806,193
0,0,0,590,0.017333984375,-0.01824951171875,-0.0048828125,-96.13800048828125,5.66864013671875,-83.6944580078125,41.09375,1096,767,198
0,0,0,600,0.017333984375,-0.01824951171875,-0.0048828125,-96.13800048828125,5.66864013671875,-83.6944580078125,41.09375,1110,783,176
0,0,0,610,0.0194091796875,-0.01776123046875,-0.0115966796875,-96.3287353515625,6.3018798828125,-82.0770263671875,41.09375,1116,784,190
0,0,0,620,0.0194091796875,-0.01776123046875,-0.0115966796875,-96.3287353515625,6.3018798828125,-82.0770263671875,39.09375,1114,771,185
0,0,0,630,0.0201416015625,-0.0067138671875,-0.01910400390625,-94.82574462890625,4.06646728515625,-83.892822265625,39.09375,1109,757,189
0,0,0,640,0.0201416015625,-0.0067138671875,-0.01910400390625,-94.82574462890625,4.06646728515625,-83.892822265625,39.09375,1117,733,198
0,0,0,650,0.0208740234375,-0.001953125,-0.01922607421875,-92.3309326171875,1.85394287109375,-83.51898193359375,39.09375,1112,714,191
0,0,0,660,0.0208740234375,-0.001953125,-0.01922607421875,-92.3309326171875,1.85394287109375,-83.51898193359375,39.09375,1127,686,198
0,0,0,670,0.016357421875,-0.00726318359375,-0.0135498046875,-92.14019775390625,1.678466796875,-85.76202392578125,45.09375,1097,702,186
0,0,0,680,0.016357421875,-0.00726318359375,-0.0135498046875,-92.14019775390625,1.678466796875,-85.76202392578125,45.09375,1117,725,189
0,0,0,690,0.01812744140625,-0.01806640625,-0.00823974609375,-91.6900634765625,1.83868408203125,-85.2203369140625,45.09375,1105,728,188
0,0,0,700,0.01971435546875,-0.02545166015625,-0.00042724609375,-91.6900634765625,3.79180908203125,-83.9691162109375,45.09375,1118,689,197
0,0,0,710,0.01971435546875,-0.02545166015625,-0.00042724609375,-92.21649169921875,2.6397705078125,-83.9691162109375,42.09375,1104,672,187
0,0,0,720,0.037841796875,-0.01507568359375,-0.0032958984375,-104.888916015625,11.3983154296875,-89.97344970703125,42.09375,1116,678,196
0,0,0,730,0.037841796875,-0.01507568359375,-0.0032958984375,-104.888916015625,11.3983154296875,-89.97344970703125,42.09375,1112,663,183
0,0,0,740,0.076416015625,-0.00518798828125,-0.0523681640625,-98.358154296875,9.033203125,-83.25958251953125,42.09375,1120,658,187
0,0,0,750,0.076416015625,-0.00518798828125,-0.0523681640625,-98.358154296875,9.033203125,-83.25958251953125,42.09375,1112,669,186
0,0,0,760,0.072265625,0.01751708984375,-0.08001708984375,-100.6927490234375,6.56890869140625,-87.8143310546875,33.09375,1109,648,210
0,0,0,770,0.072265625,0.01751708984375,-0.08001708984375,-100.6927490234375,6.56890869140625,-87.8143310546875,33.09375,1117,643,196
0,0,0,780,0.098388671875,0.0419921875,-0.1099853515625,-102.42462158203125,3.4027099609375,-88.836669921875,33.09375,1105,625,232
0,0,0,790,0.098388671875,0.0419921875,-0.1099853515625,-102.42462158203125,3.4027099609375,-88.836669921875,33.09375,1122,644,228
0,0,0,800,0.117431640625,0.05450439453125,-0.134521484375,-93.26934814453125,-4.12750244140625,-92.64373779296875,43.09375,1130,671,259
0,0,0,810,0.117431640625,0.05450439453125,-0.134521484375,-93.26934814453125,-4.12750244140625,-92.64373779296875,43.09375,1122,671,275
0,0,0,820,0.1383056640625,0.031982421875,-0.1187744140625,-88.08135986328125,-2.76947021484375,-83.8775634765625,43.09375,1119,699,252
0,0,0,830,0.1383056640625,0.01959228515625,-0.091064453125,-88.08135986328125,-2.76947021484375,-83.8775634765625,43.09375,1112,694,275
0,0,0,840,0.13372802734375,0.01959228515625,-0.091064453125,-96.13037109375,3.9825439453125,-78.63616943359375,43.09375,1131,707,259
0,0,0,850,0.11993408203125,0.04168701171875,-0.09918212890625,-103.4698486328125,5.615234375,-83.2672119140625,41.09375,1115,709,241
0,0,0,860,0.11993408203125,0.04168701171875,-0.09918212890625,-103.4698486328125,5.615234375,-83.2672119140625,41.09375,1108,712,231
0,0,0,870,0.12969970703125,0.058349609375,-0.1278076171875,-99.3804931640625,0.640869140625,-89.6148681640625,41.09375,1124,713,213
0,0,0,880,0.12969970703125,0.058349609375,-0.1278076171875,-99.3804931640625,0.640869140625,-89.6148681640625,41.09375,1107,720,213
0,0,0,890,0.14471435546875,0.039306640625,-0.133056640625,-98.388671875,-0.00762939453125,-86.42578125,37.09375,1131,709,185
0,0,0,900,0.14471435546875,0.039306640625,-0.133056640625,-98.388671875,-0.00762939453125,-86.42578125,37.09375,1114,717,199
0,0,0,910,0.15093994140625,0.03216552734375,-0.1419677734375,-91.31622314453125,-4.5623779296875,-84.78546142578125,37.09375,1106,713,182
0,0,0,920,0.15093994140625,0.03216552734375,-0.1419677734375,-91.31622314453125,-4.5623779296875,-84.78546142578125,37.09375,1119,712,194
0,0,0,930,0.13787841796875,0.0147705078125,-0.1202392578125,-85.86883544921875,-8.60595703125,-86.0443115234375,37.09375,1104,719,202
